	V1	V21	V41	V61	V81	V101	V121	V141	V161	V181	V201	V221	V241	V261	V281	V301	V321	V341	V361	V381	V401	V421	V441	V461	V481	V501	V521	V541	V561	V581	V601	V621	V641	V661	V681	V701	V721	V741	V761	V781
301	211.78125	218.355469	-1275.900391	-1303.138672	-1327.158203	-67.070313	63.578125	-285.320313	-1412.224609	-1420.787109	-327.373047	53.097656	-229.605469	-1050.154297	-1504.580078	-1364.833984	-15.230469	140.886719	-1255.109375	-1243.457031	-1260.048828	-1289.78125	-1330.908203	-1356.023438	-1376.863281	-285.613281	31.578125	-341.361328	-1508.216797	-1521.466797	-1413.287109	-271.792969	-20.382813	-406.126953	-1541.958984	-1428.957031	-1363.521484	-1366.292969	-1317.203125	-1300.482422
321	122.183594	-1354.712891	-1369.521484	-1391.279297	-1407.896484	-1431.070313	-302.927734	31.257813	-348.111328	-420.109375	-31.875	-236.929688	-1087.007813	-1439.535156	-1445.003906	-1414.3125	-1386.533203	-75.863281	143.921875	-1297.279297	-1315.480469	-1352.806641	-1378.916016	-1402.574219	-1419.380859	-1434.966797	-321.59375	-0.523438	-380.953125	-722.777344	-351.566406	-51.53125	-400.417969	-1460.386719	-1471.757813	-1441.230469	-1390.009766	-1395.785156	-1343.324219	-1320.679688
341	-1533.666016	-1554.298828	-1563.572266	-1569.705078	-1564.777344	-1537.734375	-1028.753906	-29.007813	-51.484375	-89.082031	-187.613281	-603.128906	-1511.070313	-1501.478516	-1534.15625	-1547.789063	-1541.167969	-1534.261719	-330.945313	-26.902344	-1559.294922	-1589.238281	-1601.609375	-1609.880859	-1608.558594	-1586.617188	-1370.039063	-68.476563	-88.214844	-112.808594	-167.9375	-674.539063	-1605.398438	-1527.285156	-1551.597656	-1595.570313	-1577.707031	-1580.455078	-1548.443359	59.757813
361	-1567.316406	-1581.916016	-1589.625	-1564.960938	-1564.085938	-1554.070313	-392.716797	-31.984375	-401.671875	-450.912109	-127.148438	-459.896484	-1587.308594	-1568.957031	-1581.574219	-1572.982422	-1572.478516	-1572.408203	-1578.697266	-195.582031	-211.457031	-1642.705078	-1654.332031	-1645.845703	-1636.183594	-1617.382813	-877.302734	-84.140625	-177.039063	-468.175781	-167.378906	-544.255859	-1676.496094	-1624.029297	-1617.287109	-1634.25	-1623.009766	-1631.984375	33.847656	-806.443359
381	-1523.189453	-1541.21875	-1555.318359	-1538.205078	-1529.957031	-362.853516	0.984375	-345.462891	-1581.861328	-1579.505859	-443.832031	-39.542969	-374.511719	-1548.435547	-1572.664063	-1535.958984	-1524.439453	-1510.707031	-1513.777344	-1530.587891	-98.660156	-89.394531	-1576.388672	-1578.115234	-1576.796875	-910.142578	-52.65625	-182.148438	-1289.998047	-1599.587891	-168.816406	-93.402344	-425.695313	-1580.201172	-1587.664063	-1558.373047	-1531.373047	48.613281	-958.0625	-1554.621094
401	-1447.345703	-1474.320313	-1503.128906	-1526.240234	-342.337891	35.683594	-14.914063	-1545.269531	-1590.070313	-1602.15625	-1592.613281	-421.947266	-24.765625	-370.113281	-1589.769531	-1545.050781	-1512.535156	-1489.246094	-1487.720703	-1499.636719	-1515.09375	14.085938	-65.058594	-1596.494141	-683.337891	245.652344	-280.5625	-1572.294922	-1646.763672	-1663.761719	-1653.935547	-157.078125	-71.269531	-428.910156	-1655.337891	-1627.724609	57.753906	-795.871094	-1556.150391	-1573.087891
421	-1239.064453	-1271.775391	-1313.791016	-239.792969	87.941406	63.027344	-1430.539063	-1468.859375	-1514.474609	-1530.787109	-1528.279297	-1527.695313	-383.851563	4.070313	-320.677734	-1349.480469	-1321.542969	-1312.435547	-1277.449219	-1275.935547	-1295.738281	-1328.111328	45.554688	7.710938	296.675781	1145.078125	-409.037109	-1554.261719	-1599.738281	-1620.765625	-1617.375	-1603.681641	-94.144531	-63.152344	-403.273438	0.722656	-1047.761719	-1379.03125	-1355.550781	-1351.441406
441	-1273.269531	-1296.052734	-235.832031	91.847656	77.789063	-1360.613281	-1377.888672	-1369.873047	-1412.306641	-1423.634766	-1416.181641	-1411.578125	-1437.902344	-351.066406	103.929688	32.0625	-1318.740234	-1350.320313	-1280.925781	-1278.433594	-1294.705078	-1329.476563	-5.640625	-4.65625	-38.949219	-21.539063	-10.128906	-437.380859	-1457.554688	-1474.431641	-1465.783203	-1453.371094	-1483.048828	-58.554688	-72.535156	-376.328125	-1361.896484	-1410.855469	-1336.099609	-1319.623047
461	-1504.744141	-324.320313	35.71875	4.253906	-1563.839844	-1538.935547	-1546.208984	-1538.634766	-1565.394531	-1554.099609	-1557.306641	-1559.751953	-1574.535156	-1458	61.761719	1006.429688	-48.230469	-1482.541016	-1499.634766	-1517.212891	-1535.664063	-437.537109	-14.546875	-247.695313	-1484.234375	-1323.830078	-94.875	-31.765625	-772.289063	-1606.851563	-1611.373047	-1600.291016	-1624.564453	-1627.435547	-164.832031	-126.257813	-396.796875	-1503.169922	-1510.683594	-1521.003906
481	-358.578125	-9.898438	-46.851563	-1610.615234	-1609.519531	-1573.654297	-1582.724609	-1572.71875	-1597.427734	-1586.460938	-1591.226563	-1596.951172	-1600.419922	-419.71875	-112.953125	-609.466797	-97.921875	-50.203125	-1584.738281	-1614.935547	-572.927734	-52.871094	-347.832031	-1590.707031	-1666.240234	-1633.287109	-1532.632813	-64.039063	-68.242188	-844.675781	-1657.992188	-1652.175781	-1675.878906	-1661.310547	-1727.330078	-297.3125	-96.601563	-419.554688	-1622.117188	-1660.099609
501	-6.933594	-361.849609	-1534.173828	-1551.892578	-1523.8125	-1486.486328	-1500.142578	-1490.019531	-1520.197266	-1528.400391	-1539.466797	-1547.564453	-407.294922	-28.9375	-409.583984	-1410.740234	-406.007813	-21.75	-51.417969	-73.972656	-53.054688	-334.558594	-1535.492188	-1593.195313	-1590.541016	-1548.240234	-1553.029297	-1188.638672	-62.261719	-71.835938	-707.841797	-1597.777344	-1622.345703	-1620.431641	-1624.484375	-1579.291016	-93.027344	-63.992188	-441.558594	-549.171875
521	-353.740234	-1531.167969	-1558.212891	-1571.060547	-1574.34375	-1553.941406	-1574.007813	-1571.458984	-1603.208984	-1621.472656	-1676.294922	-406.431641	-83.589844	-389.392578	-1571.792969	-1555.025391	-1534.060547	-360.875	-42.199219	-54.835938	-353.230469	-1563.029297	-1622.660156	-1631.507813	-1634.6875	-1616.839844	-1630.917969	-1636.169922	-1412.117188	-83.445313	-104.683594	-963.849609	-1710.326172	-1698.613281	-1677.183594	-1636.455078	-1601.171875	-80.921875	-91.875	-114.832031
541	-1296.988281	-1324.109375	-1361.025391	-1383.669922	-1451.910156	-1505.001953	-1530.964844	-1532.738281	-1567.570313	-1581.185547	-61.453125	-75.761719	-386.916016	-1545.167969	-1463.119141	-1411.863281	-1388.720703	-1352.583984	-204.023438	10.589844	-795.648438	-1415.679688	-1452.564453	-1477.255859	-1532.742188	-1570.742188	-1596.568359	-1599.882813	-1647.339844	-1183.519531	-65.910156	-87.246094	-1047.333984	-1671.244141	-1598.070313	-1537.216797	-1502.515625	-1460.800781	-372.882813	-57.148438
561	-272.679688	-1285.955078	-1314.126953	-1335.773438	-1355.289063	-1347.640625	-1374.960938	-1372.130859	-1408.626953	41.535156	36.917969	-307.199219	-1384.369141	-1418.054688	-1477.835938	-1379.382813	-1350.837891	-852.84375	40.355469	45.546875	-314.34375	-1323.523438	-1356.193359	-1378.271484	-1406.195313	-1402.294922	-1428.816406	-1425.113281	-1475.769531	-1498.386719	-1040.462891	-24.433594	-100.394531	-758.181641	-1575.884766	-1439.611328	-1394.708984	-1423.207031	-326.808594	-12.902344
581	39.753906	-395.607422	-1488.330078	-1499.539063	-1504.804688	-1496.732422	-1511.626953	-1484.912109	14.253906	22.445313	-333.089844	-1524.849609	-1523.269531	-1540.986328	-1548.123047	-1527.382813	-854.757813	26.816406	5.070313	3.566406	11.894531	-430.246094	-1479.382813	-1496.230469	-1507.478516	-1514.025391	-1528.943359	-1515.960938	-1541.488281	-1560.466797	-1552.291016	-970.0625	-105.074219	-209.472656	-817.421875	-1524.324219	-1455.095703	-342.246094	-34.722656	-42.648438
